session,group,ppt,selection,selected,continuation,continue,L1_bsl,self_rating,bsl_years,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp
4,second,S03,selected,1,continuing,1,0,1,0,0.67,0.7,0.68,5,35,7,4.5,na,na,na,na,na,na,6,0.7,3.66,0.88,2156,0.89,2243,63,19,23,21,na,na,na,na,7,tbc,65.2,49.8,na,na
4,second,S13,selected,1,continuing,1,0,2,1,0.73,0.7,0.71,6,60,10,6,na,na,na,na,na,na,6,0.8,na,0.7,1790,0.42,2211,72,21,27,24,na,na,na,na,12,tbc,63.8,61.8,na,na
4,second,S07,selected,1,continuing,1,0,1,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,second,S89,selected,1,continuing,1,0,1,0,0.7,0.66,0.68,6,60,10,6,na,na,na,na,na,na,6,0.8,3.84,0.84,3234,0.79,2910,65,16,18,31,na,na,na,na,11,tbc,58.6,44.5,na,na
4,second,S16,selected,1,continuing,1,0,1,0,0.73,0.68,0.71,6,54,9,5.5,na,na,na,na,na,na,8,0.79,4.18,0.92,2367,0.8,2202,71,23,22,26,na,na,na,na,15,tbc,61.2,57.7,na,na
4,second,S97,selected,1,continuing,1,0,2,1,0.71,0.73,0.72,6,60,10,6,na,na,na,na,na,na,8,0.86,4.48,0.9,1636,0.96,2338,44,11,17,16,na,na,na,na,20,tbc,72.6,83,na,na
4,second,S85,selected,1,withdrew,0,0,4,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,second,S68,selected,1,continuing,1,0,3,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,second,S10,selected,1,withdrew,0,1,4,18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
4,second,S73,selected,1,continuing,1,0,4,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
