session,group,ppt,status,continue,L1_bsl,prior_BSL,age_s1,nback_lett,nback_spat,nback_comb,corsi_bspan,corsi_score,corsi_corr,corsi_mspan,kirk_ceil,kirk_raw,kirk_acc,kbit_ceil,kbit_raw,kbit_acc,dspan_mem,dspan_corr,dspan_time,mr2d_acc,mr2d_rt,mr3d_acc,mr3d_rt,bis_tot,bis_att,bis_mot,bis_nplan,mlat_raw,mlat_acc,summ,copy_sign,bsl_srt,town_map,terp_b2e,terp_e2b,grade_bsl,grade_terp,comments
2,pilot,HW026,withdrew,0,0,0,18,0.65,0.75,0.7,6,54,9,5.5,42,31,0.74,46,40,0.81,NA,NA,NA,0.98,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,58,NA,
2,pilot,HW028,withdrew,0,0,0,17,0.76,0.76,0.76,8,96,12,7,42,35,0.83,46,44,0.94,NA,NA,NA,0.96,2528,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,NA,NA,NA,NA,64,NA,
2,grant,HW1011,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,unable to retest here due to Covid
2,grant,HW1021,continuing,1,check,check,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,unable to retest here due to Covid
2,grant,HW1031,continuing,1,check,check,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,unable to retest here due to Covid
2,grant,HW1041,continuing,1,check,check,18,0.59,0.71,0.65,6,60,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2398,48,10,15,23,NA,NA,tbc,NA,9,tbc,NA,NA,71,NA,did reverse dspan only
2,grant,HW1051,continuing,1,check,check,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,unable to retest here due to Covid
2,grant,HW1061,continuing,1,check,check,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,unable to retest here due to Covid
2,grant,HW1071,continuing,1,check,check,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tbc,tbc,tbc,tbc,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,only completed BIS
2,grant,HW1081,continuing,1,check,check,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,unable to retest here due to Covid
